	meta	yat	k/h	h-drop	r/r-drop	št/ć	č dev/ć dev	eu/au/ ev/av	sa dev/s dev	tko/ko	šta/što	da li/je li	usprkos/uprkos/unatoč	bre/bolan/ba	mnogo/puno/vrlo/jako	HR months/international months	tjedan/nedjelja/nedelja/sedmica	drug/prijatelj (m/f)	treba da/trebaXXX da	inf with -i/inf without -i	synt. future/no synt. future	da' in text	da pres	og/oga	irati/isati	irati/ovati	inf/verb ratio	sr cyrillic/mix cyrillic/latin
RT @HuzHtv: Ljudi ovo je Belmin Floki. Izgubljen u Gunji. Jeste li ga __vidjeli__. Javite. Pomagajte. Šaljite dalje. http://t.co/z5wrUqtKdj	-	je	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Upadnem na fb i ex razredna smara, __mijenja__ profilne, pojeli je neki komarci, neka muka na nju. A ja se bojim da mi je neko ispod prozora.	-	je	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
@TebiBicuJa Nije ti on široke ruke...da znaš...__provereno__	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
Na Autokomandi ima 20 žandarma po glavi stanovnika #derbi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Dolce parfem je PRESES #zelimzarodjendan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Magic realism. Not sure any other phrase explains Colombia so well. The sunsets pf Bogota are… https://t.co/mlHxriDUSx	en tweet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
@kreshica nisam ni ja gledala ali sam pratila rezultat __cijelo__ __vrijeme__. Al rekose mi ljudi koji su gledali da nije igrao prakticki	-	je	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
Ispao mi pirs __mnogo__ sam tuznas	-	-	-	-	-	-	-	-	-	-	-	-	-	-	mnogo	-	-	-	-	-	-	-	-	-	-	-	0	latin
RT @ZzzMaca: Dodje __vreme__ kada shvatis,da je dobrota... luksuz koji ne treba __rasipati__...	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	inf-i	-	da	-	-	-	-	0.2	latin
RT @Micko_PgPrince: Teletovic moze da dodje iz Bruklina i izgara za BIH, Slovencima Dragic, Srbima i Hrvatima svi zivi...__sto__ su ovi nasi to…	-	-	-	-	-	-	-	-	-	-	sto	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
@domino_gray dooobro, pazi __sta__ si rekla!	-	-	-	-	-	-	-	-	-	-	sta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
RT @MjauTriniti: Danas je __svetski__ dan maternjeg jezika. U Srbiji 15 000 ljudi se potpisuje palcOM. Dobro jutro	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
@kairaxo sad znam __ko__ još gleda vh1	-	-	-	-	-	-	-	-	-	ko	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Hmmm __dal__ da __promijenim__ username a da vratim stari nick. Sounds good isn't it?	-	je	-	-	-	-	-	-	-	-	-	dali	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
Spakovana.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Blago nama sa ovakvim udarnim __vestima__. Kakvo novinarstvo, takve i __vesti__. http://t.co/DtgInD4Duc	-	e	-	-	-	st	-	-	-	-	-	-	-	-	-	-	-	-	-	inf-i (FP)	-	-	-	-	-	-	1	latin
@DocKissKiss Pusa,kompa!:)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
@samertajmsednss Hahah nocas niko, pricam za inace	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
I onda ga sreretnem,sasvim slucajno i moj svet tada stane &lt;333	-	- (FN)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
RT @deste_picke: ♥ @masonerija Mali iz Debeljace http://t.co/ELFe5pRqX5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
@GPekarski lagano...taman za veceru :-) @TalkingFlash @BorkoJov @DekiMidzor @GogaBabic @VasicSvt	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Komsije- Djed __djevojcici__ od tri god: __gdje__ moj secer Mala: JEBO TI SECER MATEL .............. O.O dijete od tri god....	-	je	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Svaka čast i treneru Francuza,mada on meni i dalje izgleda kao dobroćudni nastavnik __fizičkog__. #samokazem #Spain2014 #mundobasket2014	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	og	-	-	0	latin
RT @ArduanaAJB: Obama ima najbolji Big Brother projekat na svijetu.	-	- (FN)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Preminula glumica iz serije "Štreberi" http://t.co/tu77ZO8Ajh	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
22 puta ljudi prebace lopticu preko mreže, pa ja toliko puta ne stavim dnevno viljušku u usta...	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
@vesnajelic @Lakakoca bojim se Vesne kao da sam zec xoxo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	inf-i-drop	-	da	-	-	-	-	0	latin
Nikad nisam bio momak oko kojeg se dize larma, ali mislim da faca i da imam nekog sharma,mozda __gresim__ al ja sam takvog dojma...	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
SUBOTA 7.12.13 at MINT http://t.co/ah1MqJtsDM	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
@Marija__Milic istrcimo malo na igraliste ahahah	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
O kakvoj kisi je __rijec__, u moj kvart ne pada	-	je	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
I'm at Bar in Bar https://t.co/pIfkLu1OLX	automatic	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Idem da spavam, najlakše je tako	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
Nisam ja kriva __sto__ se ti nameces u mojim mislima.	-	-	-	-	-	-	-	-	-	-	sto	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Pustim te da osetiš kako dišem a ti me na kraju ugušiš.	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
Povratak Šešelja vidim kao pozitivan događaj za političku scenu Srbije, jer sada svi mogu __lepo__ __videti__ razliku između naprednjaka i radikala.	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	inf-i	-	-	-	-	-	-	0.17	latin
@zriha nisam, bio sam u kinu. Što je bilo???	-	-	-	-	-	-	-	-	-	-	sto	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
@bbkov i meni je __lepa__	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Dosadni su vise sa __smenama__ ministara,svakog __meseca__ bi nekog da __smenjuju__, bolje da malo PROCISTE svoje kadrove.	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
Koj e be toj YouTube?! I so koe pravo ne snima i emituva?!	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
I'm at RTV Pink (Belgrade, Serbia) http://t.co/vGfB9VH3kH	automatic	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
RT @kliska143: Koliko volim rusku salatu, na slavama ona mi dodje kao glavno jelo a pecenje kao salata.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Hej @el_ej_ej dobar gig!	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Po dobrom starom francuskom občaju,čak se i tehničko osoblje u kulturnom centru bira po sexy kriterijumu,a ne tamo neke stručnosti.Podržavam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Moja mama je najnesebicnije najskromnije najneiskvarenije __bice__ i najveci borac na svetu.	-	- (FN)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	synt-future (FP)	-	-	-	-	-	0.5	latin
RT @zvezdasica3: tako i jest' IDEMO ORLOVI http://t.co/YZweJtcgvu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	inf-i-drop	-	-	-	-	-	-	0.5	latin
@Bogun13 stvarno je nedostajao. Nadam se da klinac nije problematican?	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
@gigoviceva @NichimIzazvan a koji deo je gledala?	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
danas je D dej...sretan i vama dan. ne zaboravite da se __smijete__ iako nije __smijesno__	-	je	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
Ooops!...I did it again	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Danas bi trebalo da sam srecan i ostale tajne univerzuma	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
Ja ne mogu da verujem kakve vi gluposti pisete o ovom derbiju...cestitke i jednoj i drugoj ekipi na dobroj utakmici...	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
@dubljevicius14 nema problema brate, hvala ;)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
RT @buci_buc21: :))) http://t.co/rdqtyoNDOX	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
jedina dobra stvar __sto__ se završila #blogomanija je to što mogu da spavam. sve ostalo je loše!!! #dosledećegviđenja	-	-	-	-	-	-	-	-	-	-	sto	-	-	-	-	-	-	-	-	-	-	da	- (FN)	-	-	-	0	latin
Vlada je odlučila u izbornoj godini __provesti__ reforme.Bolje ikad nego nikad	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	inf-i	-	-	-	-	-	-	0.25	latin
Samo da te zaaaaagrlim	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
Trujem se __mlekom__	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Čega su se taksisti sve naslušali vozeći me, __osećam__ zakucaju auto u banderu čim izađem	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
RT @BebaDragic: Kada ti muskarac kaze da ima problem __sa "tvojim__ karakterom" u __prevodu__ misli da je suvise slab da ti dozvoli da budes jaka.	-	e	-	-	-	-	-	-	sa-dev	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
#Konzum trazeci visoke rabate unistava domaci proizvod,to nam je jasno, ali __sta__ je sa Klasom I ostalima, zasto nemaju proizvode #ZIM?	-	-	-	-	-	-	-	-	sa-dev	-	sta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Sssaa daaa vodimo ljubav :Pp	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
@somboracmarko @Marushka011 Divno ste to slozili.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Today stats: One follower, One unfollower via http://t.co/PuafVvfF6Q	automatic	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Vucic je u fazonu "sad cu da pricam neke bezvezne, nepovezane stvari da ih zbunim i smorim".	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	- (FN)	-	-	-	0	latin
Šefica i ja :) @ Botanički vrt Prirodoslovno-__matematičkog__ fakulteta https://t.co/1lFVod9fzj	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	og	-	-	-	latin
RT @celava_ti_mama: Svaki put kad se Nemeš pojavi sa ovom frizurom, ja poželim da je ovo Severna Koreja.	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
Yes yes yes yes yes yes yes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Bicikloup every day, all day #bike #bicycle #bike #copenhagen #drive #photooftheday #instalife #instagood http://t.co/DhZfCP0VZJ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
I'm at Karuba in Bar https://t.co/e90bhp2S3j	automatic	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Una na Maldivima http://t.co/PoBhQgXFWn	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Jednom cu na carini tako __nadrljati__ ali svaki put kad popijem tatinu orahovacu,zao mi __sto__ nisam jos __donela__.	-	e	-	-	-	-	-	-	-	-	sto	-	-	-	-	-	-	-	-	inf-i	-	-	-	-	-	-	0.14	latin
@ScekicSuzana hahaha! P-L-A-K-A-Nj-E !!	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Večeras 20,15h gostuje(m) u emisiji Press Presek na NS televiziji Kanal 9 kod @MVladisavljev na temu ima li alternative/perspektive u Srbiji	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
@nmotika kod bilo kojeg foto servisa?	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Today stats: 8 new followers, 2 new unfollowers and followed 6 people via http://t.co/Ip8IowuwIs	automatic	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
RT @Poseidonov_Sin: Jebo majku koja je __lepota__ Iggy Azalea.	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
@coachgoran crk'o jbg ... daljinac...pa rekoh ako bi ovaj bio ljubazan da se skloni ... mislite da neće da me posluša !? :D	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	- (FN)	-	-	-	0	latin
#Provetravanje u Boru (@ Mali Stadion) https://t.co/uq1MpKrjd6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Ne izvinjavaj mi se ako ne znaš šta je u pitanju	-	-	-	-	-	-	-	-	-	-	sta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
RT @micin_taja: Fudbalska reprezentacija nam je u takvoj krizi da je jedino Nebojsa Covic moze __spasiti__! Je l da?!	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	inf-i	-	da	-	-	-	-	0.14	latin
RT @OgnjenZivaVatra: A kad sam mu __reko__ kako se zovem pogleda me __ko__ tuljan i pita "šta ti je ime, šta prezime". Mrkić mi je ime, a od Mačve …	-	e (FP)	-	-	-	-	-	-	-	ko	sta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Ha jaaaa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
@Zdarma_mysleni @waveyparticle @srbbrand @DrTrifkovic @DveriSrpske @Stefan_Visoki ja __sledim__ Stevana Supljikca i Jasu Tomica	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Moja mama-imam koleginicu koja je siromasna, a ti imas i previse stvari i krene da vadi iz ormana i da ih pakuje njoj. Crveni krst da budem.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
Genijalni Lane Gutović: http://t.co/LbgwSzXegu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
RT @cirkovic_jovana: Nemoj nikada da odustaneš od mene	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
I'm at Pleasure (Nis) http://t.co/6mFygnbH8D	automatic	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Mama, javno ti se izvinjavam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Tonight is the night	en tweet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Dje ste ribe, stigo zdravko colic http://t.co/0n8iPMmoRJ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Prespavo sam dan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
RT @PrikiPrikica: __vrijeme__ __uvijek__ pokaže istinu	-	je	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
@rackoni @Shnicla_boj Mogu da te zadese brojni problemi npr. da ti ne radi muzička i sl.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
RT @IgorZMitrovic: Jutros sam iznervirao šaltersku službenicu. Imao sam sve papire.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Djuka bem ti mater isplakah se kao nikad	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
orientation change &lt;3 @Genymotion: #Genymotion 1.1.0 release note available here : https://t.co/u36ldomYt4	en tweet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
U kladionici radi zubar pa mu je nabrzaka pregledao zube... U medjuvremenu je 'plachkash' utek'o... http://t.co/qnRkXbICmi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
RT @naukaB92: Odličan tekst o __delu__ Nikole Kopernika http://t.co/rjjnxUYryB	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Let it snow... http://t.co/8HorGyI0xF	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Nista __lepo__ da se desi ove nedelje.	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	nedelja	-	-	-	-	da	-	-	-	-	0	latin
Pećeno pile sa sočnim krumpirom........kako da jedem manje?	-	-	-	-	-	-	ch-dev	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
Sa telefonom u wc idem.. Zezaju me .. Iskljucim ga na dva sata da bih odspavala.. Za malo lavovima da me bace jer sam bila nedostupna..	-	-	-	-	-	-	-	-	sa-dev	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
Bebskanavahjsbwnazbnnsbsvs eto tako http://t.co/mKJtWp1S36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Odlično zapažanje! Darovitost __djece__ i ljubav: http://t.co/NopFiRKAHh @brankazizic	-	je	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
RT @semiramida21: Vidovdan je,a ja nisam s onim s kojim nisam bila ni na Djurdjevdan.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
@Mr_G1lic @tahipnea lazni tweet je zakon...	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
@Hej_Gringo :) kupila sam poslednje karte za 2200 i to samo jer ih je neko vratio 5 min __pre__, ostale su samo 2700, skupo bas :/	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Pronašao sam savršeno __mjesto__ za ljubljenje #Sarajevo #samopolako @ Skenderija http://t.co/0j6nwbOXtY	-	je	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Stvarno sam dosla pijana nocas.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Da ponovimo STO PARA MOZE DA RESI NIJE PROBLEM, STO PARA MOZE DA KUPI NIJE USPEH. Laku noc ❤	-	e	-	-	-	-	-	-	-	-	sto	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
RT @Delikvent1: Kad kazem EVO znaci za dva sata cu ne davi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
@CimetUVanili sve te __razumem__ :)	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
RT @paramecijumka: prekinite da cmizdrite dokle god ste zdravi i razumni pičke jedne. u potpisu: hoću ajfon šes :(	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
@trevor3k basically a version of S’mores :)	en tweet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
@violeta85452278 @rajkovuceticnk __ko__ se ženi :-p ?	-	-	-	-	-	-	-	-	-	ko	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Prozvali su me "bezdušnim džindžerom"	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Komirah se sve do sad,uh miline	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
RT @jecavinks: Karakter političara se pokazuje prema drugima,a ne prema svom narodu.Politička kotrola uključuje i samokontrolu,inače je efe…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
RT @crveni_karmin_: -Profesorka izvinite što kasnim na čas -Hajde da odgovaraš -Sam upisana -Jesi -DOVIĐENJA	-	-	-	-	-	-	-	-	-	-	sto	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
Zdravko smuti-cvekla,jagoda,jogurt,med 230 http://t.co/rxY723iTCk	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Just posted a photo @ Stock Coffee https://t.co/XIhvk545O1	automatic	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Skijanje na kisi al bukvalno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
RT @iQuoteComedy: my brain has too many tabs open	en tweet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Samozvani 'prestolonaslednik' može slobodno da se vrati u rupu iz koje se izvukao. Taman i da smo za kraljevinu sigurno ne bi __hteli__ Acu!	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
Otvori se sezame ova mala zeza me	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Kako se __ljutiti__ na tako preslatko stvorenje? Kako?	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	inf-i	-	-	-	-	-	-	1	latin
Naslaa sam pasos kod kese za pokloni . Sta ce tamo stvarno neznam .. #dobrojutro	-	-	-	-	-	-	-	-	-	-	sta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
@escobarNS pusteno u rad nije jos 100% spremno...:)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
http://t.co/mNvRBYNZCS	website	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
svet koji se __menja__: Pisanje komentara na stranicama knjigama http://t.co/XysiF0XL3u	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
RT @mudrolije: TOLIKO ! http://t.co/rxrOy8zeNr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
@sallqoo katastrofa :D	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Nikad	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
2 people followed me and one person unfollowed me // automatically checked by http://t.co/g6zF0LgKzT	automatic	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
@temjana Sestričina moje kume je izbačena iz privatne škole u Francuskoj jer je ošamarila učitelja koji je na času govorio loše o Srbima.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
 Pian Palù  jezero i Dolomiti di Brenta #priroda http://t.co/L0Q7SLoB7s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Dokle god se dobar ne suprostavi, dotle će __biti__ pod đonom budale...	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	inf-i	-	-	-	-	-	-	0.33	latin
Ne znate šta je kradja ako nijeste mtel i to postpaid #imateprijatelje	-	-	-	-	-	-	-	-	-	-	sta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
RT @ZARA: #zaradaily #monday #aw14 #woman #outerwear http://t.co/dg79kS2KYd http://t.co/o7TNDzLh7V	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
